Word,URL,Frequecny,Positions
quotes,https://quotes.toscrape.com/,3,"0,3,283"
quotes,https://quotes.toscrape.com/login,3,"0,3,9"
quotes,https://quotes.toscrape.com/author/Albert-Einstein,3,"0,3,640"
quotes,https://quotes.toscrape.com/tag/change/page/1/,3,"0,3,54"
quotes,https://quotes.toscrape.com/tag/deep-thoughts/page/1/,3,"0,3,55"
quotes,https://quotes.toscrape.com/tag/thinking/page/1/,3,"0,3,87"
quotes,https://quotes.toscrape.com/tag/world/page/1/,3,"0,3,54"
quotes,https://quotes.toscrape.com/author/J-K-Rowling,3,"0,3,676"
quotes,https://quotes.toscrape.com/tag/abilities/page/1/,3,"0,3,47"
quotes,https://quotes.toscrape.com/tag/choices/page/1/,3,"0,3,47"
quotes,https://quotes.toscrape.com/tag/inspirational/page/1/,3,"0,3,509"
quotes,https://quotes.toscrape.com/tag/life/page/1/,3,"0,3,514"
quotes,https://quotes.toscrape.com/tag/live/page/1/,3,"0,3,59"
quotes,https://quotes.toscrape.com/tag/miracle/page/1/,3,"0,3,59"
quotes,https://quotes.toscrape.com/tag/miracles/page/1/,3,"0,3,59"
quotes,https://quotes.toscrape.com/author/Jane-Austen,3,"0,3,340"
quotes,https://quotes.toscrape.com/tag/aliteracy/page/1/,3,"0,3,51"
quotes,https://quotes.toscrape.com/tag/books/page/1/,4,"0,3,153,337"
quotes,https://quotes.toscrape.com/tag/classic/page/1/,3,"0,3,69"
quotes,https://quotes.toscrape.com/tag/humor/page/1/,3,"0,3,291"
quotes,https://quotes.toscrape.com/author/Marilyn-Monroe,3,"0,3,391"
quotes,https://quotes.toscrape.com/tag/be-yourself/page/1/,3,"0,3,49"
quotes,https://quotes.toscrape.com/tag/adulthood/page/1/,3,"0,3,45"
quotes,https://quotes.toscrape.com/tag/success/page/1/,3,"0,3,45"
quotes,https://quotes.toscrape.com/tag/value/page/1/,3,"0,3,45"
quotes,https://quotes.toscrape.com/author/Andre-Gide,3,"0,3,181"
quotes,https://quotes.toscrape.com/tag/love/page/1/,3,"0,3,704"
quotes,https://quotes.toscrape.com/author/Thomas-A-Edison,3,"0,3,206"
quotes,https://quotes.toscrape.com/tag/edison/page/1/,3,"0,3,48"
quotes,https://quotes.toscrape.com/tag/failure/page/1/,3,"0,3,48"
quotes,https://quotes.toscrape.com/tag/paraphrased/page/1/,3,"0,3,75"
quotes,https://quotes.toscrape.com/author/Eleanor-Roosevelt,3,"0,3,247"
quotes,https://quotes.toscrape.com/tag/misattributed-eleanor-roosevelt/page/1/,3,"0,3,53"
quotes,https://quotes.toscrape.com/author/Steve-Martin,3,"0,3,143"
quotes,https://quotes.toscrape.com/tag/obvious/page/1/,3,"0,3,40"
quotes,https://quotes.toscrape.com/tag/simile/page/1/,3,"0,3,77"
quotes,https://quotes.toscrape.com/page/2/,3,"0,3,638"
quotes,https://quotes.toscrape.com/tag/love/,3,"0,3,704"
quotes,https://quotes.toscrape.com/tag/inspirational/,3,"0,3,509"
